date,temp_max,temp_min,precip_mm,rain_mm,temp_avg,is_rainy,is_cold,is_hot
2025_04_13,7.3,0.9,6.4,2.0,4.1,1,1,0
2025_04_14,6.9,2.4,8.8,8.0,4.6,1,1,0
2025_04_15,11.6,-0.3,0.0,0.0,5.6,0,0,0
2025_04_16,21.1,3.2,1.4,1.4,12.2,1,0,0
2025_04_17,24.0,12.1,0.0,0.0,18.0,0,0,0
2025_04_18,20.9,12.6,0.0,0.0,16.8,0,0,0
2025_04_19,21.0,10.4,8.3,8.3,15.7,1,0,0
2025_04_20,21.8,9.7,0.0,0.0,15.8,0,0,0
2025_04_21,24.3,11.8,0.0,0.0,18.0,0,0,0
2025_04_22,17.7,14.8,25.2,25.2,16.2,1,0,0
2025_04_23,21.0,9.4,0.0,0.0,15.2,0,0,0
2025_04_24,16.9,7.7,0.0,0.0,12.3,0,0,0
2025_04_25,14.9,5.8,0.0,0.0,10.4,0,0,0
2025_04_26,17.7,5.2,0.0,0.0,11.4,0,0,0
2025_04_27,18.3,8.0,0.0,0.0,13.2,0,0,0
2025_04_28,17.8,7.0,0.0,0.0,12.4,0,0,0
2025_04_29,18.4,5.7,0.0,0.0,12.0,0,0,0
2025_04_30,23.4,8.9,0.0,0.0,16.2,0,0,0
2025_05_01,15.4,9.7,22.3,22.3,12.6,1,0,0
2025_05_02,16.8,7.4,0.0,0.0,12.1,0,0,0
2025_05_03,12.6,8.5,5.2,5.2,10.6,1,0,0
2025_05_04,17.5,7.5,0.0,0.0,12.5,0,0,0
2025_05_05,14.4,6.9,0.3,0.3,10.6,0,0,0
2025_05_06,18.0,7.0,0.0,0.0,12.5,0,0,0
2025_05_07,18.2,7.1,0.1,0.1,12.6,0,0,0
2025_05_08,23.1,7.7,0.0,0.0,15.4,0,0,0
2025_05_09,15.2,12.1,21.7,21.7,13.6,1,0,0
2025_05_10,14.6,10.3,4.8,4.8,12.4,1,0,0
2025_05_11,18.6,9.2,0.0,0.0,13.9,0,0,0
2025_05_12,21.4,8.6,0.0,0.0,15.0,0,0,0
2025_05_13,24.8,13.1,0.0,0.0,19.0,0,0,0
2025_05_14,27.0,13.8,0.1,0.1,20.4,0,0,0
2025_05_15,22.7,16.0,4.7,4.7,19.4,1,0,0
2025_05_16,23.2,16.8,16.3,16.3,20.0,1,0,0
2025_05_17,24.3,13.6,2.4,2.4,19.0,1,0,0
2025_05_18,19.6,9.7,0.1,0.1,14.6,0,0,0
2025_05_19,20.4,9.6,0.0,0.0,15.0,0,0,0
2025_05_20,26.1,16.5,0.2,0.2,21.3,0,0,0
2025_05_21,29.6,18.8,0.4,0.4,24.2,0,0,0
2025_05_22,27.0,18.4,2.6,2.6,22.7,1,0,0
2025_05_23,23.9,14.7,3.5,3.5,19.3,1,0,0
2025_05_24,18.5,12.9,7.5,7.5,15.7,1,0,0
2025_05_25,21.4,10.1,0.0,0.0,15.8,0,0,0
2025_05_26,25.6,11.8,0.0,0.0,18.7,0,0,0
2025_05_27,26.0,13.3,0.0,0.0,19.6,0,0,0
2025_05_28,25.6,13.3,0.6,0.6,19.5,1,0,0
2025_05_29,26.5,14.2,0.4,0.4,20.4,0,0,0
2025_05_30,28.8,14.6,0.0,0.0,21.7,0,0,0
2025_05_31,26.5,15.0,0.0,0.0,20.8,0,0,0
2025_06_01,27.8,13.9,0.0,0.0,20.8,0,0,0
2025_06_02,23.4,17.0,1.0,1.0,20.2,1,0,0
2025_06_03,24.6,15.8,0.2,0.2,20.2,0,0,0
2025_06_04,24.4,13.6,0.0,0.0,19.0,0,0,0
2025_06_05,26.8,13.1,0.0,0.0,20.0,0,0,0
2025_06_06,28.7,17.9,0.0,0.0,23.3,0,0,0
2025_06_07,28.3,18.3,0.0,0.0,23.3,0,0,0
2025_06_08,30.2,20.1,1.0,1.0,25.2,1,0,0
2025_06_09,29.8,19.1,0.2,0.2,24.5,0,0,0
2025_06_10,24.0,18.1,0.0,0.0,21.0,0,0,0
2025_06_11,27.4,14.9,0.0,0.0,21.2,0,0,0
2025_06_12,32.2,15.6,0.0,0.0,23.9,0,0,0
2025_06_13,27.5,19.0,3.8,3.8,23.2,1,0,0
2025_06_14,29.1,18.0,1.8,1.8,23.6,1,0,0
2025_06_15,30.6,17.8,13.4,13.4,24.2,1,0,0
2025_06_16,25.2,20.5,16.0,16.0,22.8,1,0,0
2025_06_17,27.0,19.1,0.4,0.4,23.0,0,0,0
2025_06_18,28.6,19.8,0.0,0.0,24.2,0,0,0
2025_06_19,32.7,19.6,0.3,0.3,26.2,0,0,0
2025_06_20,24.3,21.6,48.9,48.9,23.0,1,0,0
2025_06_21,22.4,18.9,1.1,1.1,20.6,1,0,0
2025_06_22,25.6,16.1,0.0,0.0,20.8,0,0,0
2025_06_23,29.4,17.2,0.0,0.0,23.3,0,0,0
2025_06_24,27.3,20.1,4.9,4.9,23.7,1,0,0
2025_06_25,23.3,19.0,10.5,10.5,21.2,1,0,0
2025_06_26,24.5,18.5,0.7,0.7,21.5,1,0,0
2025_06_27,27.9,18.7,0.0,0.0,23.3,0,0,0
2025_06_28,28.2,21.6,11.7,11.7,24.9,1,0,0
2025_06_29,29.5,22.9,1.3,1.3,26.2,1,0,0
2025_06_30,30.0,23.4,1.1,1.1,26.7,1,0,0
2025_07_01,29.9,24.0,5.4,5.4,27.0,1,0,0
2025_07_02,29.9,24.4,0.7,0.7,27.2,1,0,0
2025_07_03,30.6,24.0,0.8,0.8,27.3,1,0,0
2025_07_04,29.4,23.6,0.9,0.9,26.5,1,0,0
2025_07_05,31.4,23.9,0.8,0.8,27.6,1,0,0
2025_07_06,32.0,24.3,0.9,0.9,28.2,1,0,1
2025_07_07,33.0,24.5,0.7,0.7,28.8,1,0,1
2025_07_08,35.1,25.4,0.8,0.8,30.2,1,0,1
2025_07_09,35.3,25.2,0.0,0.0,30.2,0,0,1
2025_07_10,35.5,23.8,0.0,0.0,29.6,0,0,1
2025_07_11,35.5,22.3,0.0,0.0,28.9,0,0,1
2025_07_12,36.3,22.1,0.0,0.0,29.2,0,0,1
2025_07_13,29.5,22.3,0.8,0.8,25.9,1,0,0
2025_07_14,27.1,20.5,35.5,35.5,23.8,1,0,0
2025_07_15,25.0,20.4,12.7,12.7,22.7,1,0,0
2025_07_16,23.6,20.4,36.0,36.0,22.0,1,0,0
2025_07_17,24.5,21.5,84.3,84.3,23.0,1,0,0
2025_07_18,26.8,21.9,16.5,16.5,24.4,1,0,0
2025_07_19,27.6,21.5,37.5,37.5,24.6,1,0,0
2025_07_20,30.3,22.8,7.3,7.3,26.6,1,0,0
2025_07_21,29.6,23.9,4.2,4.2,26.8,1,0,0
2025_07_22,30.1,23.9,6.4,6.4,27.0,1,0,0
2025_07_23,31.4,23.5,0.0,0.0,27.4,0,0,0
2025_07_24,32.8,23.6,0.0,0.0,28.2,0,0,1
2025_07_25,34.8,24.5,0.0,0.0,29.6,0,0,1
2025_07_26,35.0,25.4,0.0,0.0,30.2,0,0,1
2025_07_27,36.0,26.2,0.0,0.0,31.1,0,0,1
2025_07_28,35.8,25.4,0.0,0.0,30.6,0,0,1
2025_07_29,36.5,25.2,0.2,0.2,30.8,0,0,1
2025_07_30,36.0,24.8,0.0,0.0,30.4,0,0,1
2025_07_31,34.8,26.5,0.0,0.0,30.6,0,0,1
2025_08_01,35.3,26.0,0.0,0.0,30.6,0,0,1
2025_08_02,34.9,25.5,0.0,0.0,30.2,0,0,1
2025_08_03,31.9,23.5,5.0,5.0,27.7,1,0,0
2025_08_04,31.7,21.6,13.7,13.7,26.6,1,0,0
2025_08_05,30.0,23.0,0.3,0.3,26.5,0,0,0
2025_08_06,28.8,23.5,18.5,18.5,26.2,1,0,0
2025_08_07,29.5,23.0,0.9,0.9,26.2,1,0,0
2025_08_08,29.2,21.2,0.3,0.3,25.2,0,0,0
2025_08_09,26.4,22.0,3.2,3.2,24.2,1,0,0
2025_08_10,30.4,20.8,0.0,0.0,25.6,0,0,0
2025_08_11,26.2,22.2,0.0,0.0,24.2,0,0,0
2025_08_12,30.5,19.9,0.0,0.0,25.2,0,0,0
2025_08_13,28.2,22.8,29.6,29.6,25.5,1,0,0
2025_08_14,27.0,23.0,34.5,34.5,25.0,1,0,0
2025_08_15,30.1,23.3,1.5,1.5,26.7,1,0,0
2025_08_16,30.5,23.8,1.3,1.3,27.2,1,0,0
2025_08_17,30.3,23.1,0.6,0.6,26.7,1,0,0
2025_08_18,30.6,24.1,1.1,1.1,27.4,1,0,0
2025_08_19,30.1,24.6,1.6,1.6,27.4,1,0,0
2025_08_20,30.6,24.0,2.5,2.5,27.3,1,0,0
2025_08_21,31.3,24.4,1.1,1.1,27.8,1,0,0
2025_08_22,31.5,24.0,0.0,0.0,27.8,0,0,0
2025_08_23,31.9,23.9,0.7,0.7,27.9,1,0,0
2025_08_24,32.8,24.5,0.3,0.3,28.6,0,0,1
2025_08_25,31.9,24.0,21.8,21.8,28.0,1,0,0
2025_08_26,29.0,23.2,22.2,22.2,26.1,1,0,0
2025_08_27,29.9,21.9,0.1,0.1,25.9,0,0,0
2025_08_28,30.0,23.3,1.5,1.5,26.6,1,0,0
2025_08_29,30.2,24.9,5.9,5.9,27.6,1,0,0
2025_08_30,30.8,23.4,3.2,3.2,27.1,1,0,0
2025_08_31,29.8,24.0,3.4,3.4,26.9,1,0,0
2025_09_01,28.8,22.6,17.6,17.6,25.7,1,0,0
2025_09_02,28.7,19.9,0.0,0.0,24.3,0,0,0
2025_09_03,30.0,19.9,0.0,0.0,25.0,0,0,0
2025_09_04,29.0,22.2,13.9,13.9,25.6,1,0,0
2025_09_05,30.5,21.7,0.3,0.3,26.1,0,0,0
2025_09_06,29.8,23.0,28.6,28.6,26.4,1,0,0
2025_09_07,27.1,21.0,1.7,1.7,24.0,1,0,0
2025_09_08,26.6,19.1,0.0,0.0,22.8,0,0,0
2025_09_09,25.9,20.1,0.7,0.7,23.0,1,0,0
2025_09_10,28.9,18.6,0.0,0.0,23.8,0,0,0
2025_09_11,29.5,17.4,0.0,0.0,23.4,0,0,0
2025_09_12,24.9,19.0,10.2,10.2,22.0,1,0,0
2025_09_13,26.8,19.2,35.1,35.1,23.0,1,0,0
2025_09_14,27.4,19.9,0.2,0.2,23.6,0,0,0
2025_09_15,28.4,19.3,0.0,0.0,23.8,0,0,0
2025_09_16,27.7,20.8,16.6,16.6,24.2,1,0,0
2025_09_17,24.0,20.4,24.0,24.0,22.2,1,0,0
2025_09_18,24.1,18.8,0.9,0.9,21.5,1,0,0
2025_09_19,20.6,17.6,11.8,11.8,19.1,1,0,0
2025_09_20,23.1,16.6,46.6,46.6,19.8,1,0,0
2025_09_21,25.2,16.5,0.2,0.2,20.8,0,0,0
2025_09_22,24.0,17.1,0.0,0.0,20.6,0,0,0
2025_09_23,24.1,17.1,0.0,0.0,20.6,0,0,0
2025_09_24,24.0,18.4,27.4,27.4,21.2,1,0,0
2025_09_25,25.0,18.5,0.5,0.5,21.8,0,0,0
2025_09_26,25.1,16.5,0.0,0.0,20.8,0,0,0
2025_09_27,26.4,16.0,0.0,0.0,21.2,0,0,0
2025_09_28,22.5,18.1,33.6,33.6,20.3,1,0,0
2025_09_29,23.1,16.1,0.0,0.0,19.6,0,0,0
2025_09_30,22.6,15.0,0.1,0.1,18.8,0,0,0
2025_10_01,23.4,14.1,0.4,0.4,18.8,0,0,0
2025_10_02,24.8,16.5,0.0,0.0,20.6,0,0,0
2025_10_03,23.0,18.0,2.0,2.0,20.5,1,0,0
2025_10_04,24.0,19.3,0.0,0.0,21.6,0,0,0
2025_10_05,23.3,18.9,6.6,6.6,21.1,1,0,0
2025_10_06,20.0,15.9,27.4,27.4,18.0,1,0,0
2025_10_07,21.2,16.4,13.9,13.9,18.8,1,0,0
2025_10_08,25.6,17.8,0.0,0.0,21.7,0,0,0
2025_10_09,22.9,18.5,0.1,0.1,20.7,0,0,0
2025_10_10,19.3,17.0,16.9,16.9,18.2,1,0,0
2025_10_11,25.1,17.8,8.1,8.1,21.5,1,0,0
2025_10_12,22.1,16.4,1.6,1.6,19.2,1,0,0
2025_10_13,18.3,14.1,14.7,14.7,16.2,1,0,0
2025_10_14,19.5,14.3,0.9,0.9,16.9,1,0,0
2025_10_15,24.0,15.9,13.8,13.8,20.0,1,0,0
2025_10_16,23.6,16.8,11.5,11.5,20.2,1,0,0
2025_10_17,23.7,15.0,7.9,7.9,19.4,1,0,0
2025_10_18,17.8,12.9,14.2,14.2,15.4,1,0,0
2025_10_19,19.0,8.5,0.1,0.1,13.8,0,0,0
2025_10_20,14.4,4.8,0.0,0.0,9.6,0,0,0
2025_10_21,13.4,4.8,0.0,0.0,9.1,0,0,0
2025_10_22,17.8,6.6,0.2,0.2,12.2,0,0,0
2025_10_23,19.0,10.6,0.4,0.4,14.8,0,0,0
2025_10_24,19.2,11.0,0.1,0.1,15.1,0,0,0
2025_10_25,17.0,11.6,0.3,0.3,14.3,0,0,0
2025_10_26,14.4,10.2,0.3,0.3,12.3,0,0,0
2025_10_27,10.1,2.2,0.0,0.0,6.2,0,0,0
2025_10_28,11.9,1.9,0.0,0.0,6.9,0,0,0
2025_10_29,15.1,4.0,0.0,0.0,9.6,0,0,0
2025_10_30,16.2,6.4,0.0,0.0,11.3,0,0,0
2025_10_31,18.7,9.8,0.2,0.2,14.2,0,0,0
2025_11_01,14.9,9.1,4.4,4.4,12.0,1,0,0
2025_11_02,10.1,2.7,0.0,0.0,6.4,0,0,0
2025_11_03,11.9,-0.2,0.0,0.0,5.9,0,0,0
2025_11_04,14.1,3.5,0.0,0.0,8.8,0,0,0
2025_11_05,15.9,5.4,0.0,0.0,10.6,0,0,0
2025_11_06,16.9,6.0,0.0,0.0,11.4,0,0,0
2025_11_07,18.5,7.1,0.0,0.0,12.8,0,0,0
2025_11_08,16.4,10.8,0.0,0.0,13.6,0,0,0
2025_11_09,15.8,9.6,0.0,0.0,12.7,0,0,0
2025_11_10,10.1,4.8,0.0,0.0,7.4,0,0,0
2025_11_11,13.1,2.8,0.0,0.0,8.0,0,0,0
2025_11_12,14.4,3.2,0.0,0.0,8.8,0,0,0
2025_11_13,15.6,3.5,0.0,0.0,9.6,0,0,0
2025_11_14,12.4,2.3,0.0,0.0,7.4,0,0,0
2025_11_15,14.2,1.5,0.0,0.0,7.8,0,0,0
2025_11_16,15.8,4.3,0.5,0.5,10.0,0,0,0
2025_11_17,9.0,-0.8,0.0,0.0,4.1,0,1,0
2025_11_18,4.0,-3.0,0.0,0.0,0.5,0,1,0
2025_11_19,6.1,-2.7,0.0,0.0,1.7,0,1,0
2025_11_20,12.7,0.1,0.0,0.0,6.4,0,0,0
2025_11_21,10.2,-0.1,0.0,0.0,5.0,0,0,0
2025_11_22,13.1,3.2,0.0,0.0,8.2,0,0,0
2025_11_23,12.9,5.2,0.3,0.3,9.0,0,0,0
2025_11_24,15.6,7.2,0.7,0.7,11.4,1,0,0
2025_11_25,8.9,3.0,3.4,3.4,6.0,1,0,0
2025_11_26,8.3,2.2,0.0,0.0,5.2,0,0,0
2025_11_27,7.9,2.6,12.0,12.0,5.2,1,0,0
2025_11_28,5.3,-2.0,0.0,0.0,1.6,0,1,0
2025_11_29,9.9,-1.3,0.4,0.4,4.3,0,1,0
2025_11_30,15.4,6.4,0.4,0.4,10.9,0,0,0
2025_12_01,10.2,1.1,0.0,0.0,5.6,0,0,0
2025_12_02,1.8,-6.1,0.0,0.0,-2.2,0,1,0
2025_12_03,-3.1,-8.5,0.0,0.0,-5.8,0,1,0
2025_12_04,0.0,-9.4,1.5,0.0,-4.7,1,1,0
2025_12_05,0.2,-9.2,0.0,0.0,-4.5,0,1,0
2025_12_06,6.4,-2.7,1.2,1.2,1.8,1,1,0
2025_12_07,10.8,-0.2,0.1,0.1,5.3,0,0,0
2025_12_08,5.2,-1.2,0.0,0.0,2.0,0,1,0
2025_12_09,6.3,-2.5,0.0,0.0,1.9,0,1,0
2025_12_10,8.1,-0.3,0.1,0.1,3.9,0,1,0
2025_12_11,7.4,-3.8,7.6,7.6,1.8,1,1,0
2025_12_12,5.9,-4.2,0.0,0.0,0.8,0,1,0
2025_12_13,3.6,-0.9,9.9,5.1,1.4,1,1,0
2025_12_14,2.6,-2.6,0.0,0.0,0.0,0,1,0
2025_12_15,4.3,-3.3,0.0,0.0,0.5,0,1,0
2025_12_16,4.6,0.9,4.2,4.2,2.8,1,1,0
2025_12_17,5.8,-0.9,0.0,0.0,2.4,0,1,0
2025_12_18,5.7,-2.8,0.0,0.0,1.5,0,1,0
2025_12_19,8.5,-1.6,0.0,0.0,3.4,0,1,0
2025_12_20,10.1,0.9,4.4,4.4,5.5,1,0,0
2025_12_21,0.3,-4.4,0.0,0.0,-2.1,0,1,0
2025_12_22,3.5,-5.7,0.0,0.0,-1.1,0,1,0
2025_12_23,4.4,-0.6,11.1,10.5,1.9,1,1,0
2025_12_24,3.5,-2.5,0.0,0.0,0.5,0,1,0
2025_12_25,-0.6,-9.6,0.0,0.0,-5.1,0,1,0
2025_12_26,-5.4,-11.8,0.0,0.0,-8.6,0,1,0
2025_12_27,2.2,-7.9,0.0,0.0,-2.8,0,1,0
2025_12_28,5.7,-1.5,0.3,0.3,2.1,0,1,0
2025_12_29,8.2,-1.2,2.7,2.5,3.5,1,1,0
2025_12_30,1.9,-4.4,0.0,0.0,-1.3,0,1,0
2025_12_31,-2.0,-8.6,0.0,0.0,-5.3,0,1,0
2026_01_01,-4.1,-10.4,0.0,0.0,-7.2,0,1,0
2026_01_02,-5.3,-11.9,0.0,0.0,-8.6,0,1,0
2026_01_03,-0.2,-10.2,0.0,0.0,-5.2,0,1,0
2026_01_04,2.5,-3.0,0.0,0.0,-0.2,0,1,0
2026_01_05,0.3,-5.1,0.0,0.0,-2.4,0,1,0
2026_01_06,2.5,-7.2,0.0,0.0,-2.4,0,1,0
2026_01_07,1.2,-5.6,0.1,0.0,-2.2,0,1,0
2026_01_08,-2.8,-8.1,0.0,0.0,-5.4,0,1,0
2026_01_09,3.7,-6.9,0.4,0.3,-1.6,0,1,0
2026_01_10,4.2,-4.8,9.4,4.4,-0.3,1,1,0
2026_01_11,-4.5,-9.2,0.0,0.0,-6.8,0,1,0
2026_01_12,0.6,-10.3,1.4,0.1,-4.9,1,1,0
2026_01_13,2.5,-7.6,0.1,0.1,-2.6,0,1,0
2026_01_14,1.0,-9.3,0.1,0.1,-4.2,0,1,0
2026_01_15,8.2,-1.1,0.3,0.3,3.6,0,1,0
2026_01_16,7.3,-2.3,0.0,0.0,2.5,0,1,0
2026_01_17,2.7,-4.9,0.0,0.0,-1.1,0,1,0
2026_01_18,3.8,-3.7,0.5,0.0,0.0,0,1,0
2026_01_19,-0.4,-10.2,2.4,0.0,-5.3,1,1,0
2026_01_20,-5.6,-13.5,0.0,0.0,-9.6,0,1,0
2026_01_21,-6.8,-13.7,0.0,0.0,-10.2,0,1,0
2026_01_22,-5.8,-14.3,0.0,0.0,-10.0,0,1,0
2026_01_23,-1.0,-12.0,0.5,0.0,-6.5,0,1,0
2026_01_24,-3.2,-11.9,0.2,0.0,-7.6,0,1,0
2026_01_25,-3.6,-11.4,0.0,0.0,-7.5,0,1,0
2026_01_26,-1.9,-10.9,0.0,0.0,-6.4,0,1,0
2026_01_27,-1.6,-8.5,0.0,0.0,-5.0,0,1,0
2026_01_28,-2.2,-9.9,0.0,0.0,-6.1,0,1,0
2026_01_29,-1.5,-9.8,0.0,0.0,-5.6,0,1,0
2026_01_30,-3.6,-10.6,0.0,0.0,-7.1,0,1,0
2026_01_31,-0.9,-11.3,0.0,0.0,-6.1,0,1,0
2026_02_01,0.4,-8.1,0.0,0.0,-3.8,0,1,0
2026_02_02,-1.1,-5.9,1.0,0.0,-3.5,1,1,0
2026_02_03,3.0,-8.3,0.0,0.0,-2.7,0,1,0
2026_02_04,6.1,-3.0,0.0,0.0,1.5,0,1,0
2026_02_05,7.7,-3.2,0.3,0.3,2.2,0,1,0
2026_02_06,-3.7,-9.4,0.0,0.0,-6.6,0,1,0
2026_02_07,-5.2,-11.1,0.0,0.0,-8.2,0,1,0
2026_02_08,-5.6,-13.2,0.0,0.0,-9.4,0,1,0
2026_02_09,1.6,-10.9,0.0,0.0,-4.6,0,1,0
2026_02_10,5.1,-4.0,0.6,0.4,0.5,1,1,0
2026_02_11,4.0,-2.5,0.4,0.4,0.8,0,1,0
2026_02_12,6.9,-4.6,0.0,0.0,1.2,0,1,0
2026_02_13,9.4,-1.4,0.0,0.0,4.0,0,1,0
2026_02_14,10.1,0.3,0.0,0.0,5.2,0,0,0
2026_02_15,9.6,-1.2,0.0,0.0,4.2,0,1,0
2026_02_16,5.7,-3.6,0.0,0.0,1.0,0,1,0
2026_02_17,4.9,-4.6,0.0,0.0,0.2,0,1,0
2026_02_18,5.3,-1.9,0.0,0.0,1.7,0,1,0
2026_02_19,5.6,-4.1,0.0,0.0,0.8,0,1,0
2026_02_20,11.3,-1.9,0.0,0.0,4.7,0,1,0
2026_02_21,15.6,1.5,0.0,0.0,8.6,0,0,0
2026_02_22,11.1,0.1,0.1,0.1,5.6,0,0,0
2026_02_23,4.7,-2.6,0.0,0.0,1.0,0,1,0
2026_02_24,3.6,-1.0,2.2,0.0,1.3,1,1,0
2026_02_25,12.1,-1.7,0.0,0.0,5.2,0,0,0
2026_02_26,11.1,0.7,0.2,0.2,5.9,0,0,0
2026_02_27,12.1,3.8,0.0,0.0,8.0,0,0,0
2026_02_28,14.1,0.1,0.0,0.0,7.1,0,0,0
2026_03_01,12.4,3.7,0.2,0.2,8.0,0,0,0
2026_03_02,5.9,1.9,13.4,13.2,3.9,1,1,0
2026_03_03,9.8,1.5,1.2,1.2,5.6,1,0,0
2026_03_04,9.9,0.0,0.0,0.0,5.0,0,0,0
2026_03_05,11.6,-0.9,14.0,8.5,5.4,1,0,0
2026_03_06,4.0,-2.1,1.6,0.4,1.0,1,1,0
2026_03_07,2.9,-4.0,0.0,0.0,-0.6,0,1,0
2026_03_08,5.2,-4.7,0.0,0.0,0.2,0,1,0
2026_03_09,6.6,-0.6,0.0,0.0,3.0,0,1,0
2026_03_10,7.1,-2.6,0.0,0.0,2.2,0,1,0
2026_03_11,8.3,-1.4,0.0,0.0,3.4,0,1,0
2026_03_12,11.0,-1.2,0.0,0.0,4.9,0,1,0
2026_03_13,10.9,0.6,0.0,0.0,5.8,0,0,0
2026_03_14,10.7,2.0,0.0,0.0,6.4,0,0,0
2026_03_15,9.1,1.8,1.0,1.0,5.4,1,0,0
2026_03_16,11.6,-0.1,0.0,0.0,5.8,0,0,0
2026_03_17,12.6,-0.6,0.0,0.0,6.0,0,0,0
2026_03_18,7.9,3.5,6.2,6.2,5.7,1,0,0
2026_03_19,10.4,-1.1,0.0,0.0,4.6,0,1,0
2026_03_20,10.8,-1.2,0.0,0.0,4.8,0,1,0
2026_03_21,12.4,-0.8,0.0,0.0,5.8,0,0,0
2026_03_22,16.0,2.2,0.0,0.0,9.1,0,0,0
2026_03_23,17.1,2.0,0.0,0.0,9.6,0,0,0
2026_03_24,15.9,5.4,0.0,0.0,10.6,0,0,0
2026_03_25,17.1,6.8,0.0,0.0,12.0,0,0,0
2026_03_26,17.8,3.2,0.0,0.0,10.5,0,0,0
2026_03_27,17.0,5.0,0.1,0.1,11.0,0,0,0
2026_03_28,17.9,4.0,0.0,0.0,11.0,0,0,0
2026_03_29,18.9,4.8,0.0,0.0,11.8,0,0,0
2026_03_30,19.0,8.4,3.2,3.2,13.7,1,0,0
2026_03_31,17.5,9.7,9.5,9.5,13.6,1,0,0
2026_04_01,15.9,7.1,0.1,0.1,11.5,0,0,0
2026_04_02,15.5,3.8,0.0,0.0,9.6,0,0,0
2026_04_03,20.1,5.8,0.0,0.0,13.0,0,0,0
2026_04_04,18.2,6.8,4.8,4.8,12.5,1,0,0
2026_04_05,15.4,5.6,3.4,3.4,10.5,1,0,0
2026_04_06,13.0,5.2,5.5,5.5,9.1,1,0,0
2026_04_07,11.1,1.8,0.0,0.0,6.4,0,0,0
2026_04_08,14.4,0.5,0.0,0.0,7.4,0,0,0
2026_04_09,12.1,6.1,18.9,18.9,9.1,1,0,0
2026_04_10,12.1,7.6,5.8,5.8,9.8,1,0,0
2026_04_11,15.8,7.1,0.1,0.1,11.4,0,0,0
2026_04_12,21.3,5.6,0.0,0.0,13.4,0,0,0
2026_04_13,25.0,7.8,0.0,0.0,16.4,0,0,0
2026_04_14,25.5,12.6,0.0,0.0,19.0,0,0,0
2026_04_15,23.7,11.6,0.0,0.0,17.6,0,0,0
2026_04_16,25.1,10.6,0.0,0.0,17.8,0,0,0
2026_04_17,20.1,11.8,0.2,0.2,16.0,0,0,0
2026_04_18,26.1,9.0,0.0,0.0,17.6,0,0,0
2026_04_19,27.5,12.3,0.0,0.0,19.9,0,0,0
